,run,agentID,other,other_thief,other_suspect,other_cs,other_alib
81,7,8,1,0,0,0,0
82,7,8,2,0,0,0,0
83,7,8,3,0,0,0,0
84,7,8,4,0,0,0,0
85,7,8,5,0,0,0,0
86,7,8,6,0,0,1,0
87,7,8,7,0,0,0,0
88,7,8,8,0,0,0,0
89,7,8,9,0,0,1,0
90,7,9,0,1,1,0,0
91,7,9,1,0,0,0,0
92,7,9,2,0,0,1,0
93,7,9,3,0,0,0,1
94,7,9,4,0,0,0,0
95,7,9,5,0,0,0,1
96,7,9,6,0,0,1,0
97,7,9,7,0,0,0,0
98,7,9,8,0,0,0,0
99,7,9,9,0,0,0,0
0,8,0,0,1,1,0,0
1,8,0,1,0,0,1,0
2,8,0,2,0,0,0,0
3,8,0,3,0,0,0,0
4,8,0,4,0,0,0,0
5,8,0,5,0,0,0,0
6,8,0,6,0,0,0,1
7,8,0,7,0,0,0,0
8,8,0,8,0,0,0,1
9,8,0,9,0,0,1,0
10,8,1,0,1,1,0,1
11,8,1,1,0,0,0,0
12,8,1,2,0,0,0,0
13,8,1,3,0,0,0,1
14,8,1,4,0,0,0,1
15,8,1,5,0,0,0,0
16,8,1,6,0,0,0,0
17,8,1,7,0,0,0,0
18,8,1,8,0,0,0,0
19,8,1,9,0,0,1,0
20,8,2,0,1,1,0,0
21,8,2,1,0,0,0,0
22,8,2,2,0,0,0,0
23,8,2,3,0,0,0,0
24,8,2,4,0,0,0,0
25,8,2,5,0,0,0,0
26,8,2,6,0,0,0,0
27,8,2,7,0,0,0,0
28,8,2,8,0,0,0,0
29,8,2,9,0,0,0,0
30,8,3,0,1,1,0,0
31,8,3,1,0,0,0,0
32,8,3,2,0,0,0,0
33,8,3,3,0,0,0,0
34,8,3,4,0,0,0,0
35,8,3,5,0,0,0,0
36,8,3,6,0,0,0,0
37,8,3,7,0,0,0,0
38,8,3,8,0,0,0,0
39,8,3,9,0,0,0,0
40,8,4,0,1,1,0,0
41,8,4,1,0,0,1,0
42,8,4,2,0,0,0,0
43,8,4,3,0,0,0,0
44,8,4,4,0,0,0,0
45,8,4,5,0,0,0,1
46,8,4,6,0,0,0,0
47,8,4,7,0,0,0,0
48,8,4,8,0,0,0,1
49,8,4,9,0,0,1,0
50,8,5,0,1,1,0,0
51,8,5,1,0,0,0,0
52,8,5,2,0,0,0,0
53,8,5,3,0,0,0,0
54,8,5,4,0,0,0,0
55,8,5,5,0,0,0,0
56,8,5,6,0,0,0,0
57,8,5,7,0,0,0,0
58,8,5,8,0,0,0,0
59,8,5,9,0,0,0,0
60,8,6,0,1,1,0,0
61,8,6,1,0,0,0,0
62,8,6,2,0,0,0,0
63,8,6,3,0,0,0,0
64,8,6,4,0,0,0,0
65,8,6,5,0,0,0,0
66,8,6,6,0,0,0,0
67,8,6,7,0,0,0,0
68,8,6,8,0,0,0,0
69,8,6,9,0,0,0,0
70,8,7,0,1,1,1,1
